date,region_from,region_to,value
3/20/2020,fid000,fid000,17570
4/29/2020,fid000,fid000,16523
4/1/2020,fid000,fid000,16905
3/8/2020,fid000,fid000,16582
4/15/2020,fid000,fid000,15831
4/14/2020,fid000,fid000,17668
3/9/2020,fid000,fid000,16434
3/21/2020,fid000,fid000,17360
4/28/2020,fid000,fid000,17256
3/23/2020,fid000,fid000,15662
4/16/2020,fid000,fid000,16395
4/2/2020,fid000,fid000,16928
4/3/2020,fid000,fid000,17596
4/17/2020,fid000,fid000,16939
3/22/2020,fid000,fid000,16500
4/13/2020,fid000,fid000,15179
4/7/2020,fid000,fid000,15592
3/26/2020,fid000,fid000,17210
3/27/2020,fid000,fid000,16569
4/6/2020,fid000,fid000,15533
4/12/2020,fid000,fid000,15281
4/4/2020,fid000,fid000,16320
4/10/2020,fid000,fid000,17314
3/19/2020,fid000,fid000,17907
3/31/2020,fid000,fid000,17760
3/25/2020,fid000,fid000,17737
3/24/2020,fid000,fid000,16904
3/30/2020,fid000,fid000,16395
4/11/2020,fid000,fid000,14572
3/18/2020,fid000,fid000,16990
4/5/2020,fid000,fid000,15249
5/22/2020,fid000,fid000,19296
2/3/2020,fid000,fid000,19847
2/17/2020,fid000,fid000,17129
2/2/2020,fid000,fid000,18617
5/23/2020,fid000,fid000,14987
5/21/2020,fid000,fid000,18278
2/28/2020,fid000,fid000,18483
2/14/2020,fid000,fid000,19919
5/9/2020,fid000,fid000,17174
2/1/2020,fid000,fid000,19279
5/8/2020,fid000,fid000,17855
2/15/2020,fid000,fid000,18442
5/20/2020,fid000,fid000,17899
2/29/2020,fid000,fid000,17943
2/11/2020,fid000,fid000,19772
5/18/2020,fid000,fid000,16331
2/5/2020,fid000,fid000,19412
5/24/2020,fid000,fid000,13656
5/30/2020,fid000,fid000,15035
5/31/2020,fid000,fid000,14726
5/25/2020,fid000,fid000,13987
2/10/2020,fid000,fid000,18621
5/19/2020,fid000,fid000,17495
2/6/2020,fid000,fid000,20132
2/12/2020,fid000,fid000,18757
5/27/2020,fid000,fid000,17013
5/26/2020,fid000,fid000,15875
2/13/2020,fid000,fid000,18862
2/7/2020,fid000,fid000,19878
5/17/2020,fid000,fid000,14804
5/3/2020,fid000,fid000,14113
2/22/2020,fid000,fid000,17883
2/23/2020,fid000,fid000,17897
5/2/2020,fid000,fid000,14567
5/16/2020,fid000,fid000,15708
2/9/2020,fid000,fid000,18671
5/14/2020,fid000,fid000,16162
2/21/2020,fid000,fid000,19138
5/28/2020,fid000,fid000,16022
2/20/2020,fid000,fid000,19253
5/29/2020,fid000,fid000,17308
5/15/2020,fid000,fid000,16507
5/1/2020,fid000,fid000,15604
2/8/2020,fid000,fid000,18245
2/24/2020,fid000,fid000,18241
5/5/2020,fid000,fid000,16676
5/11/2020,fid000,fid000,17133
2/18/2020,fid000,fid000,19168
5/10/2020,fid000,fid000,16059
2/19/2020,fid000,fid000,19262
5/4/2020,fid000,fid000,15755
2/25/2020,fid000,fid000,18843
2/27/2020,fid000,fid000,19131
5/12/2020,fid000,fid000,15901
5/6/2020,fid000,fid000,17410
5/7/2020,fid000,fid000,19276
5/13/2020,fid000,fid000,17786
2/26/2020,fid000,fid000,18313
3/15/2020,fid000,fid000,16368
4/8/2020,fid000,fid000,16299
4/20/2020,fid000,fid000,17912
3/29/2020,fid000,fid000,17030
4/21/2020,fid000,fid000,18530
3/28/2020,fid000,fid000,16540
4/9/2020,fid000,fid000,16824
3/14/2020,fid000,fid000,16377
3/2/2020,fid000,fid000,18523
3/16/2020,fid000,fid000,18281
4/23/2020,fid000,fid000,17698
4/22/2020,fid000,fid000,17507
3/17/2020,fid000,fid000,17801
3/3/2020,fid000,fid000,16901
4/26/2020,fid000,fid000,14289
3/7/2020,fid000,fid000,19170
3/13/2020,fid000,fid000,18282
3/6/2020,fid000,fid000,18718
4/27/2020,fid000,fid000,15728
4/25/2020,fid000,fid000,16221
4/19/2020,fid000,fid000,14863
3/5/2020,fid000,fid000,17851
4/18/2020,fid000,fid000,16979
4/30/2020,fid000,fid000,17803
4/24/2020,fid000,fid000,17286
3/20/2020,fid000,fid001,1101
4/29/2020,fid000,fid001,788
4/1/2020,fid000,fid001,666
