region,date,value
fid000,5/23/2020,19968
fid000,2/2/2020,24341
fid000,2/3/2020,25204
fid000,2/17/2020,23137
fid000,5/22/2020,24637
fid000,2/29/2020,22666
fid000,5/20/2020,23233
fid000,5/8/2020,23427
fid000,2/1/2020,25328
fid000,2/15/2020,24343
fid000,2/14/2020,26319
fid000,5/9/2020,21047
fid000,2/28/2020,24280
fid000,5/21/2020,24415
fid000,5/19/2020,23862
fid000,2/10/2020,24255
fid000,5/31/2020,20085
fid000,5/25/2020,19543
fid000,5/24/2020,18472
fid000,5/30/2020,18884
fid000,5/18/2020,21374
fid000,2/11/2020,26347
fid000,2/5/2020,25409
fid000,2/13/2020,26423
fid000,2/7/2020,26240
fid000,5/26/2020,22218
fid000,5/27/2020,22079
fid000,2/6/2020,26850
fid000,2/12/2020,24991
fid000,4/28/2020,22207
fid000,3/21/2020,22582
fid000,4/14/2020,23543
fid000,3/9/2020,23812
fid000,3/8/2020,21795
fid000,4/1/2020,23189
fid000,4/15/2020,22449
fid000,4/29/2020,24076
fid000,3/20/2020,24404
fid000,3/22/2020,21342
fid000,4/3/2020,23219
fid000,4/17/2020,22740
fid000,4/16/2020,22004
fid000,4/2/2020,21242
fid000,3/23/2020,22414
fid000,4/6/2020,20894
fid000,4/12/2020,20197
fid000,3/27/2020,21944
fid000,3/26/2020,23786
fid000,4/13/2020,19893
fid000,4/7/2020,20605
fid000,3/18/2020,22593
fid000,4/11/2020,20231
fid000,4/5/2020,20293
fid000,3/24/2020,22565
fid000,3/30/2020,22647
fid000,3/31/2020,23878
fid000,3/25/2020,23494
fid000,4/4/2020,22835
fid000,3/19/2020,23319
fid000,4/10/2020,22457
fid000,4/9/2020,22172
fid000,3/14/2020,23131
fid000,3/28/2020,20834
fid000,4/21/2020,23407
fid000,3/29/2020,20539
fid000,4/20/2020,21936
fid000,3/15/2020,21536
fid000,4/8/2020,21040
fid000,3/17/2020,24736
fid000,3/3/2020,22008
fid000,4/22/2020,20980
fid000,4/23/2020,22713
fid000,3/2/2020,22673
fid000,3/16/2020,23616
fid000,4/27/2020,19765
fid000,3/6/2020,24073
fid000,3/7/2020,23833
fid000,3/13/2020,22763
fid000,4/26/2020,18133
fid000,4/30/2020,23483
fid000,4/24/2020,20580
fid000,3/5/2020,23336
fid000,4/18/2020,20735
fid000,4/19/2020,19304
fid000,4/25/2020,21998
fid000,5/2/2020,19387
fid000,5/16/2020,19955
fid000,2/23/2020,21230
fid000,2/22/2020,22722
fid000,5/17/2020,19886
fid000,5/3/2020,19438
fid000,5/15/2020,23730
