region,date,value
fid000,4/16/2020,247557
fid000,4/2/2020,283691
fid000,3/23/2020,287474
fid000,3/22/2020,266737
fid000,4/3/2020,292242
fid000,4/17/2020,237618
fid000,4/1/2020,301481
fid000,3/8/2020,266104
fid000,4/15/2020,234921
fid000,3/20/2020,311263
fid000,4/29/2020,223513
fid000,3/21/2020,295057
fid000,4/28/2020,211774
fid000,4/14/2020,238587
fid000,3/9/2020,281264
fid000,3/31/2020,294485
fid000,3/25/2020,296926
fid000,4/4/2020,276686
fid000,4/10/2020,290229
fid000,3/19/2020,302520
fid000,4/11/2020,253326
fid000,3/18/2020,286007
fid000,4/5/2020,261018
fid000,3/24/2020,272975
fid000,3/30/2020,296379
fid000,3/26/2020,307733
fid000,4/13/2020,242510
fid000,4/7/2020,276399
fid000,4/6/2020,256812
fid000,4/12/2020,275397
fid000,3/27/2020,288709
fid000,2/14/2020,318780
fid000,5/9/2020,220403
fid000,5/21/2020,224294
fid000,2/28/2020,312770
fid000,5/20/2020,234479
fid000,2/29/2020,302739
fid000,2/1/2020,323635
fid000,5/8/2020,218064
fid000,2/15/2020,289369
fid000,2/3/2020,293590
fid000,2/17/2020,280629
fid000,5/22/2020,243035
fid000,5/23/2020,214227
fid000,2/2/2020,291399
fid000,5/27/2020,222073
fid000,2/6/2020,311744
fid000,2/12/2020,312017
fid000,2/13/2020,304153
fid000,2/7/2020,312630
fid000,5/26/2020,216196
fid000,5/24/2020,212890
fid000,5/30/2020,220493
fid000,2/11/2020,290698
fid000,5/18/2020,206201
fid000,2/5/2020,283401
fid000,2/10/2020,301635
fid000,5/19/2020,223325
fid000,5/31/2020,237115
fid000,5/25/2020,193096
fid000,2/21/2020,295722
fid000,5/28/2020,231224
fid000,2/9/2020,301836
fid000,5/14/2020,219628
fid000,5/15/2020,210619
fid000,5/1/2020,208179
fid000,2/8/2020,304805
fid000,2/20/2020,310985
fid000,5/29/2020,229319
fid000,2/22/2020,302789
fid000,5/17/2020,219020
fid000,5/3/2020,209308
fid000,5/2/2020,206385
fid000,5/16/2020,217949
fid000,2/23/2020,279535
fid000,5/12/2020,212957
fid000,5/6/2020,232746
fid000,2/27/2020,298650
fid000,2/26/2020,308336
fid000,5/7/2020,224575
fid000,5/13/2020,233415
fid000,5/5/2020,221912
fid000,5/11/2020,203507
fid000,2/18/2020,274013
fid000,2/24/2020,297786
fid000,2/25/2020,309592
fid000,5/10/2020,239096
fid000,2/19/2020,316603
fid000,5/4/2020,214786
fid000,4/23/2020,239400
fid000,3/2/2020,271637
fid000,3/16/2020,307712
fid000,3/17/2020,297793
fid000,3/3/2020,284460
fid000,4/22/2020,229451
fid000,4/20/2020,219868
fid000,3/29/2020,286909
fid000,3/15/2020,290045
fid000,4/8/2020,263509
fid000,4/9/2020,290798
fid000,3/14/2020,277336
fid000,4/21/2020,233978
fid000,3/28/2020,288082
fid000,4/19/2020,226032
fid000,4/25/2020,207214
fid000,4/30/2020,212392
fid000,4/24/2020,249825
fid000,3/5/2020,305897
fid000,4/18/2020,230246
fid000,3/7/2020,308189
fid000,3/13/2020,266897
